order	playlist_index	video_id	source_slug	imported	diarization	duration	title
86	55	hk_yhi3-prw	predictive-history-hk-yhi3-prw	no	yes	1:03:17	Secret History #8:  Death by Bureaucracy
87	54	9MURGjjG4aA	predictive-history-9murgjjg4aa	no	yes	1:06:45	Secret History #9:   The Theory of Everything
88	53	ihh1fdW4-cA	predictive-history-ihh1fdw4-ca	no	yes	58:27	Secret History #10:  The Conspiracy of Evil
89	52	LvHsg5qtDs8	predictive-history-lvhsg5qtds8	no	yes	1:01:37	Secret History #11:  Dawn of the Human Imagination
90	51	VtnRA-GNKM8	predictive-history-vtnra-gnkm8	no	yes	57:22	Secret History #12:  Heaven on Earth
91	50	FJF8oD_5c_w	predictive-history-fjf8od-5c-w	no	yes	57:34	Secret History #13:  Mandate of Heaven
92	49	JpTI2gFYWrU	predictive-history-jpti2gfywru	no	yes	58:45	Secret History #14:  Legacy of the Steppes
93	48	rkt0HQOogHE	predictive-history-rkt0hqooghe	no	yes	55:15	Secret History #15:  Capital and the Bronze Age Collapse
94	47	4ehovUNrSrw	predictive-history-4ehovunrsrw	no	yes	1:07:36	Secret History #16:  The Big Bang of Greek Civilization
95	46	PlMNq44tBG0	predictive-history-plmnq44tbg0	no	yes	1:06:00	Secret History #17:  Literary Genesis
96	45	dELEdxh0ceg	predictive-history-deledxh0ceg	no	yes	1:03:17	Secret History #18:  Thus Spoke Zarathustra
97	44	3t0MeVBD24I	predictive-history-3t0mevbd24i	no	yes	1:12:34	Secret History #19:  Dawn of the Jews
98	43	z0AwFin83lo	predictive-history-z0awfin83lo	no	yes	1:18:07	Secret History #20:  The Hellenistic World
99	42	Y-gXVzwbFMU	predictive-history-y-gxvzwbfmu	no	yes	1:25:56	Secret History #21:  Roman Anti-Civilization
100	41	pp0E1gb80WQ	predictive-history-pp0e1gb80wq	no	yes	1:37:08	Secret History #22:  The Divine Spark of Jesus
101	40	6XGAc_OqCbU	predictive-history-6xgac-oqcbu	no	yes	1:34:31	Secret History #23:  The Organization of Evil
102	39	TEdVhyE8pO0	predictive-history-tedvhye8po0	no	yes	1:24:38	Secret History #24:  Empire of Church
